date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:24	32944/32944	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202024%2010:54:21%20GMT	https://www.smartlabdental.com/politica-de-cookies	C:/My%20Web%20Sites/dentalsmartlab.es/politica-de-cookies.html	(from https://www.smartlabdental.com/)
12:54:24	22574/22574	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202024%2010:54:22%20GMT	https://www.smartlabdental.com/declaracion-de-accesibilidad	C:/My%20Web%20Sites/dentalsmartlab.es/declaracion-de-accesibilidad.html	(from https://www.smartlabdental.com/)
12:54:24	9484/9484	---M--	200	added ('OK')	image/png	etag:%22d32373b34afe45facd0220e9ca96a17d%22	https://www.smartlabdental.com/uploads/0yNzs0rR/time-count__msi___png.png	C:/My%20Web%20Sites/dentalsmartlab.es/uploads/0yNzs0rR/time-count__msi___png.png	(from https://www.smartlabdental.com/)
12:54:24	14465/14465	---M--	200	added ('OK')	image/png	etag:%2299b16c6365864ecbe813b9eb6b20ef08%22	https://www.smartlabdental.com/uploads/mbFsY2WG/idea__msi___png.png	C:/My%20Web%20Sites/dentalsmartlab.es/uploads/mbFsY2WG/idea__msi___png.png	(from https://www.smartlabdental.com/)
12:54:25	30364/30364	---M--	200	added ('OK')	image/png	etag:%22c75e5cb37f20ddaf4a6262cbc7fff06a%22	https://www.smartlabdental.com/uploads/x15cs38g/medal__msi___png.png	C:/My%20Web%20Sites/dentalsmartlab.es/uploads/x15cs38g/medal__msi___png.png	(from https://www.smartlabdental.com/)
12:54:25	29638/29638	---M--	200	added ('OK')	image/jpeg	etag:%22ac157921df9c7296286accc4f9272b54%22	https://www.smartlabdental.com/uploads/rBV5Idcc/189312993_m_normal_none1.jpg	C:/My%20Web%20Sites/dentalsmartlab.es/uploads/rBV5Idcc/189312993_m_normal_none1.jpg	(from https://www.smartlabdental.com/)
12:54:25	19954/19954	---M--	200	added ('OK')	image/webp	etag:%226be8f47d2f15bff3c1630d0491601659%22	https://www.smartlabdental.com/uploads/y8A3j9Ou/737x0_634x0/Logo__msi___png.webp	C:/My%20Web%20Sites/dentalsmartlab.es/uploads/y8A3j9Ou/737x0_634x0/Logo__msi___png.webp	(from https://www.smartlabdental.com/)
12:54:25	26548/26548	---M--	200	added ('OK')	image/jpeg	etag:%22e6fd03d6c4f83bcb4ba85b636be6d33e%22	https://www.smartlabdental.com/uploads/GPEF6XGy/737x0_1169x0/kit-digital-Logo-digitalizadores.jpg	C:/My%20Web%20Sites/dentalsmartlab.es/uploads/GPEF6XGy/737x0_1169x0/kit-digital-Logo-digitalizadores.jpg	(from https://www.smartlabdental.com/)
12:54:25	1019/1019	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed706e71ce696a5b9d364a8424ec1441%22	https://site-assets.cdnmns.com/43be775090a46e36f85b470886cb9fe8/js/loader-polyfills.js?1712056181005	C:/My%20Web%20Sites/dentalsmartlab.es/43be775090a46e36f85b470886cb9fe8/js/loader-polyfillsaa00.js	(from https://www.smartlabdental.com/)
12:54:27	21201/21201	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230b7222eb526f81ce837938a024c361b%22	https://site-assets.cdnmns.com/43be775090a46e36f85b470886cb9fe8/js/loader.js?1712056181005	C:/My%20Web%20Sites/dentalsmartlab.es/43be775090a46e36f85b470886cb9fe8/js/loaderaa00.js	(from https://www.smartlabdental.com/)
12:54:29	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/dentalsmartlab.es/analytics.js	(from https://www.smartlabdental.com/)
12:54:29	1410/1410	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22660be7a9-582%22	https://www.smartlabdental.com/custGa0.set	C:/My%20Web%20Sites/dentalsmartlab.es/custGa0.set	(from https://www.smartlabdental.com/)
12:54:29	91075/91075	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d3f796884c224a7ead39263529dd979%22	https://site-assets.cdnmns.com/43be775090a46e36f85b470886cb9fe8/js/reseller/padigital/s_code1.0.js	C:/My%20Web%20Sites/dentalsmartlab.es/43be775090a46e36f85b470886cb9fe8/js/reseller/padigital/s_code1.0.js	(from https://www.smartlabdental.com/)
12:54:30	24488/24488	---M--	200	added ('OK')	binary/octet-stream	etag:%22747442fa76f1d9a31f9a54a2e8a4b448%22	https://site-assets.cdnmns.com/43be775090a46e36f85b470886cb9fe8/css/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/dentalsmartlab.es/43be775090a46e36f85b470886cb9fe8/css/fonts/fa-regular-400.woff2	(from https://site-assets.cdnmns.com/43be775090a46e36f85b470886cb9fe8/css/grids.css?1712056181005)
